iter	RMSE
154	0.04102003223
155	0.04098474839
156	0.04096847823
157	0.04091921299
158	0.04088182211
159	0.04086612034
160	0.04084493557
161	0.04081953693
162	0.04080195605
163	0.04076392455
164	0.04074690566
165	0.04072641046
166	0.04071064041
167	0.04069566856
168	0.0406725425
169	0.04065123792
170	0.0406125912
171	0.04059583938
172	0.04057723968
173	0.04054021658
174	0.04052591119
175	0.04049974688
176	0.04048759557
177	0.04046386149
178	0.04043094405
179	0.0404078085
180	0.04038434526
181	0.04036262501
182	0.04033364948
183	0.04031804353
184	0.04030071903
185	0.04025035863
186	0.04023509409
187	0.04022626072
188	0.04019234362
189	0.04017546914
190	0.04015643219
191	0.04014602061
192	0.04012339677
193	0.0401131532
194	0.04009835361
195	0.04007247214
196	0.04005121645
197	0.04003863127
198	0.04001757681
199	0.04000336782
200	0.03998339772
201	0.03996944183
202	0.03995731159
203	0.03994547643
204	0.03990981065
205	0.039891335
206	0.03985915611
207	0.03984095094
208	0.03982388679
209	0.03981335239
210	0.03979463686
211	0.03978292632
212	0.03976275446
213	0.03974790175
214	0.03972419849
215	0.03970544401
216	0.03968116359
217	0.03967233825
218	0.03966200131
219	0.03963655431
220	0.03961286038
221	0.0395982785
222	0.0395844799
223	0.03956594234
224	0.03955054239
225	0.03953158804
226	0.03951032542
227	0.03950148246
228	0.039481082
229	0.03946156265
230	0.03944376704
231	0.03943214924
232	0.03942456198
233	0.03941498669
234	0.0394067951
235	0.03937426729
236	0.03936250514
237	0.03934884565
238	0.03932900466
239	0.03931991609
240	0.03931108102
241	0.03927885797
242	0.03925948848
243	0.03924772799
244	0.03922262635
245	0.03920500476
246	0.03919262343
247	0.03918143967
248	0.03917228885
249	0.03915336634
250	0.03913931748
251	0.03912670829
252	0.03911040504
253	0.03909538755
254	0.03908767046
255	0.03907105875
256	0.0390612236
257	0.03905163228
258	0.03903850252
259	0.03902286652
260	0.03901282971
261	0.0389931337
262	0.0389802026
263	0.03897205684
264	0.03895982767
265	0.03894365904
266	0.03893817464
267	0.03891533477
268	0.03890028768
269	0.03888384394
270	0.03886626835
271	0.03885008522
272	0.03883590762
273	0.03882536368
274	0.03881601917
275	0.03880600005
276	0.03879253273
277	0.03878330243
278	0.03877395987
279	0.03875717675
280	0.03874601169
281	0.03873334615
282	0.03872539016
283	0.03871692565
284	0.03870375107
285	0.03869592666
286	0.03868379522
287	0.03866547929
288	0.03865326863
289	0.03864513105
290	0.03861939851
291	0.03861072123
292	0.03859803942
293	0.03858957263
294	0.03857780043
295	0.03856824539
296	0.03855698103
297	0.03854141154
298	0.03853745314
299	0.03852802873
300	0.03851561434
301	0.03850677058
302	0.03849454252
303	0.03848031532
304	0.0384661007
305	0.03845969587
306	0.03844671038
307	0.0384350754
308	0.03842323085
309	0.03841183529
310	0.03840205279
311	0.03839057249
312	0.03838219408
313	0.03837143556
314	0.03836434217
315	0.03835398086
316	0.03834166609
317	0.03832524617
318	0.03831330571
319	0.03829954918
320	0.03829219379
321	0.03828204796
322	0.03825958489
323	0.03825004823
324	0.03824067432
325	0.03823164613
326	0.03822066852
327	0.03821236542
328	0.03819872655
329	0.0381867339
330	0.03817474506
331	0.03816229834
332	0.03815566589
333	0.03814832913
334	0.03814382503
335	0.03813014665
336	0.03812204926
337	0.03811577279
338	0.03810627031
339	0.03809685649
340	0.03808857111
341	0.03808203533
342	0.03807528785
343	0.03806221928
344	0.03805397623
345	0.03804435393
346	0.03803741849
347	0.03803281786
348	0.03802156337
349	0.03801488243
350	0.03800553725
351	0.03798876564
352	0.03797909675
353	0.03797201753
354	0.03796052133
355	0.03795674753
356	0.03794645852
357	0.03793249338
358	0.03791762612
359	0.03790959873
360	0.03790014564
361	0.03789264045
362	0.03787975907
363	0.03787248768
364	0.03785747714
365	0.03785090408
366	0.03783861193
367	0.03782941995
368	0.03781666095
369	0.03780721495
370	0.03779434478
371	0.03778931898
372	0.03778707008
373	0.03777423705
374	0.03776939643
375	0.0377624237
376	0.03775200655
377	0.03774292594
378	0.03773033057
379	0.03772143851
380	0.03771369231
381	0.03770470629
382	0.03769574134
383	0.0376874879
384	0.03768116934
385	0.03767385279
386	0.03766315777
387	0.03764892778
388	0.03764239588
389	0.03762103695
390	0.0376104426
391	0.03760129485
392	0.03759295331
393	0.03758702227
394	0.03757171788
395	0.03756248293
396	0.03754908169
397	0.03754332282
398	0.03753688454
399	0.03753019905
400	0.03752403732
401	0.03751744094
402	0.03750880219
403	0.03750298459
404	0.03749416059
405	0.03748674664
406	0.03748223475
407	0.03747434914
408	0.0374638537
409	0.03746069385
410	0.03744890828
411	0.03744341756
412	0.03743722397
413	0.03742256966
414	0.03740379545
415	0.03739771263
416	0.03738863391
417	0.03737876432
418	0.03736932212
419	0.03736597822
420	0.03735200516
421	0.03733504859
422	0.03732722452
423	0.03731689162
424	0.03730523467
425	0.03728834957
426	0.03727720343
427	0.03726632204
428	0.03725086748
429	0.03723803196
430	0.03722694382
431	0.0372209979
432	0.03720949403
433	0.0372021379
434	0.03719173508
435	0.03718126354
436	0.0371767855
437	0.03717281633
438	0.03716266024
439	0.03715444169
440	0.03715029139
441	0.03713950084
442	0.03712995861
443	0.03712110111
444	0.03711582691
445	0.03710746291
446	0.03710083255
447	0.03709020756
448	0.03708082268
449	0.03707093696
450	0.0370558125
451	0.03704833528
452	0.03704322654
453	0.03703719543
454	0.03703242504
455	0.03702090564
456	0.03701128876
457	0.03700583161
458	0.03699670761
459	0.03698566212
460	0.03697721714
461	0.03696777202
462	0.03696092637
463	0.03694778144
464	0.0369423001
465	0.03693493544
466	0.03692750938
467	0.03691730844
468	0.03690564957
469	0.03689897716
470	0.03688975828
471	0.03687898821
472	0.03687395655
473	0.03687004718
474	0.03686401638
475	0.03685401286
476	0.03684846672
477	0.03683762247
478	0.03682644331
479	0.0368199975
480	0.0368124333
481	0.03680622945
482	0.03680038609
483	0.03679465682
484	0.03678950609
485	0.03678261813
486	0.03677526268
487	0.0367635384
488	0.03675630251
489	0.036743285
490	0.03673656831
491	0.03673180879
492	0.03672641161
493	0.0367154645
494	0.03670821506
495	0.03670009043
496	0.03668854993
497	0.03667751085
498	0.03666925623
499	0.03665910818
