iter	RMSE
0	0.13653609
1	0.1310320241
2	0.125994115
3	0.1212045823
4	0.1166848742
5	0.1124601967
6	0.1084395478
7	0.1045223981
8	0.1009810421
9	0.09768788463
10	0.09457633313
11	0.09161482543
12	0.0887363883
13	0.08596509457
14	0.08342732541
15	0.08106822188
16	0.07885851308
17	0.07680028274
18	0.07486464081
19	0.07306265926
20	0.07135304515
21	0.06973041694
22	0.06820685476
23	0.06688196557
24	0.06556990158
25	0.06423575651
26	0.06308751344
27	0.06197279322
28	0.06099812329
29	0.06004535575
30	0.05905365928
31	0.05812639948
32	0.05730641867
33	0.05656334482
34	0.0558088193
35	0.05510630237
36	0.05446282695
37	0.05383910716
38	0.0532641081
39	0.0527394486
40	0.05226425496
41	0.05182145426
42	0.05135622
43	0.05091327196
44	0.05053235141
45	0.05019329901
46	0.04985293008
47	0.04955188399
48	0.04920650401
49	0.04891146522
50	0.04860506885
51	0.04832458242
52	0.04806772545
53	0.04782920398
54	0.04760777787
55	0.04740798985
56	0.04721676006
57	0.04707158948
58	0.04685158185
59	0.04666496733
60	0.04646771215
61	0.04630157959
62	0.0461450277
63	0.0459921432
64	0.04582478519
65	0.0456741966
66	0.04553475213
67	0.04541745878
68	0.04531359094
69	0.04520086399
70	0.04508402179
71	0.04498143808
72	0.04486157859
73	0.04472854192
74	0.0446222261
75	0.04452288765
76	0.04443757671
77	0.04435253401
78	0.0442910416
79	0.04418103563
80	0.04411391884
81	0.0440518514
82	0.04396203183
83	0.04390251102
84	0.04383591551
85	0.0437606352
86	0.04367756901
87	0.04362376819
88	0.04356903636
89	0.04350207715
90	0.04345746027
91	0.04341534079
92	0.0433421407
93	0.04329406089
94	0.04323495743
95	0.04318850094
96	0.04314189735
97	0.04311411761
98	0.043070676
99	0.04299906144
100	0.04294587428
101	0.04285303346
102	0.04279363719
103	0.04273861085
104	0.04265217894
105	0.04262201702
106	0.04258382979
107	0.04254250767
108	0.04248764964
109	0.04246642111
110	0.0424327085
111	0.04239771449
112	0.04236632163
113	0.04232558369
114	0.04229591052
115	0.04227299146
116	0.04223569084
117	0.04217554831
118	0.04212627726
119	0.04208810063
120	0.04203795986
121	0.04197770198
122	0.04193013972
123	0.04188485392
124	0.04182814775
125	0.0417919196
126	0.04177868415
127	0.04173900027
128	0.04170696737
129	0.04167902591
130	0.04165876057
131	0.04163587598
132	0.04160720564
133	0.04157331739
134	0.04156146944
135	0.04154177992
136	0.04151048815
137	0.04147899282
138	0.04144009409
139	0.04141811776
140	0.04139219431
141	0.04133726613
142	0.04131085735
143	0.04129431201
144	0.04128272542
145	0.04125540106
146	0.04122827794
147	0.0412127926
148	0.04119236059
149	0.04114116056
150	0.0411199128
151	0.04109204316
152	0.0410621352
153	0.04103970409
